Filename	Sweep	D	TruncErr_right(201)	TruncErr_left(202)
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	1	6000	1.40e-05	2.09e-05
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	2	6000	1.37e-05	1.02e-05
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	3	6000	9.20e-06	8.51e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	4	6000	8.55e-06	8.27e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	5	6000	8.43e-06	8.29e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	6	6000	8.39e-06	8.32e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D6000	7	6000	8.36e-06	8.33e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	1	7000	4.95e-06	6.72e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	2	7000	7.12e-06	7.31e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	3	7000	7.35e-06	7.42e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	4	7000	7.41e-06	7.44e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	5	7000	7.43e-06	7.46e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	6	7000	7.44e-06	7.46e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D7000	7	7000	7.45e-06	7.47e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	1	8000	4.75e-06	6.20e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	2	8000	6.46e-06	6.60e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	3	8000	6.64e-06	6.69e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	4	8000	6.68e-06	6.71e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	5	8000	6.70e-06	6.73e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	6	8000	6.71e-06	6.74e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D8000	7	8000	6.72e-06	6.75e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	1	10000	3.05e-06	4.89e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	2	10000	5.27e-06	5.46e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	3	10000	5.51e-06	5.56e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	4	10000	5.57e-06	5.61e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	5	10000	5.60e-06	5.63e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	6	10000	5.62e-06	5.64e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D10000	7	10000	5.63e-06	5.66e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D12000	1	12000	2.99e-06	4.36e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D12000	2	12000	4.64e-06	4.78e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D12000	3	12000	4.82e-06	4.86e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D12000	4	12000	4.87e-06	4.90e-06
Kondo2LayerJh4U18t21Jperp0.1.log::D12000	5	12000	4.89e-06	4.91e-06
Jh4U18Jperp0.1D15000.log::D15000	1	15000	2.22e-06	3.57e-06
Jh4U18Jperp0.1D15000.log::D15000	2	15000	3.86e-06	3.99e-06
Jh4U18Jperp0.1D15000.log::D15000	3	15000	4.03e-06	4.07e-06
Jh4U18Jperp0.1D15000.log::D15000	4	15000	4.08e-06	4.10e-06
Jh4U18Jperp0.1D15000.log::D15000	5	15000	4.10e-06	4.11e-06
