Filename	Sweep	D	TruncErr_right(201)	TruncErr_left(202)
Kondo2LayerJh4U18t21Jperp4.log::D2000	1	2000	3.26e-06	7.64e-06
Kondo2LayerJh4U18t21Jperp4.log::D2000	2	2000	1.62e-05	1.84e-05
Kondo2LayerJh4U18t21Jperp4.log::D2000	3	2000	1.99e-05	2.17e-05
Kondo2LayerJh4U18t21Jperp4.log::D2000	4	2000	2.27e-05	2.44e-05
Kondo2LayerJh4U18t21Jperp4.log::D2000	5	2000	2.52e-05	2.80e-05
Kondo2LayerJh4U18t21Jperp4.log::D2000	6	2000	3.16e-05	1.44e-05
Kondo2LayerJh4U18t21Jperp4.log::D3000	1	3000	3.91e-06	9.00e-06
Kondo2LayerJh4U18t21Jperp4.log::D3000	2	3000	1.35e-05	1.46e-05
Kondo2LayerJh4U18t21Jperp4.log::D3000	3	3000	1.50e-05	1.53e-05
Kondo2LayerJh4U18t21Jperp4.log::D3000	4	3000	1.53e-05	1.54e-05
Kondo2LayerJh4U18t21Jperp4.log::D3000	5	3000	1.53e-05	1.54e-05
Kondo2LayerJh4U18t21Jperp4.log::D3000	6	3000	1.54e-05	1.55e-05
Kondo2LayerJh4U18t21Jperp4.log::D4000	1	4000	5.10e-06	8.06e-06
Kondo2LayerJh4U18t21Jperp4.log::D4000	2	4000	9.71e-06	1.00e-05
Kondo2LayerJh4U18t21Jperp4.log::D4000	3	4000	1.03e-05	1.04e-05
Kondo2LayerJh4U18t21Jperp4.log::D4000	4	4000	1.05e-05	1.05e-05
Kondo2LayerJh4U18t21Jperp4.log::D4000	5	4000	1.06e-05	1.06e-05
Kondo2LayerJh4U18t21Jperp4.log::D4000	6	4000	1.06e-05	1.06e-05
Kondo2LayerJh4U18t21Jperp4.log::D5000	1	5000	4.48e-06	6.43e-06
Kondo2LayerJh4U18t21Jperp4.log::D5000	2	5000	7.38e-06	7.59e-06
Kondo2LayerJh4U18t21Jperp4.log::D5000	3	5000	7.75e-06	7.80e-06
Kondo2LayerJh4U18t21Jperp4.log::D5000	4	5000	7.87e-06	7.89e-06
