Filename	Sweep	D	TruncErr_right(201)	TruncErr_left(202)
Kondo2LayerJh4U18t21Jperp4.log::D5000	5	5000	7.94e-06	7.94e-06
Kondo2LayerJh4U18t21Jperp4.log::D5000	6	5000	7.99e-06	8.00e-06
Kondo2LayerJh4U18t21Jperp4.log::D6000	1	6000	3.94e-06	5.19e-06
Kondo2LayerJh4U18t21Jperp4.log::D6000	2	6000	5.80e-06	5.92e-06
Kondo2LayerJh4U18t21Jperp4.log::D6000	3	6000	6.04e-06	6.07e-06
Kondo2LayerJh4U18t21Jperp4.log::D6000	4	6000	6.12e-06	6.13e-06
Kondo2LayerJh4U18t21Jperp4.log::D6000	5	6000	6.15e-06	6.16e-06
Kondo2LayerJh4U18t21Jperp4.log::D6000	6	6000	6.18e-06	6.18e-06
Kondo2LayerJh4U18t21Jperp4.log::D8000	1	8000	1.95e-06	3.13e-06
Kondo2LayerJh4U18t21Jperp4.log::D8000	2	8000	3.67e-06	3.79e-06
Kondo2LayerJh4U18t21Jperp4.log::D8000	3	8000	3.87e-06	3.90e-06
Kondo2LayerJh4U18t21Jperp4.log::D8000	4	8000	3.93e-06	3.93e-06
Kondo2LayerJh4U18t21Jperp4.log::D8000	5	8000	3.95e-06	3.95e-06
Kondo2LayerJh4U18t21Jperp4.log::D8000	6	8000	3.96e-06	3.96e-06
Kondo2LayerJh4U18t21Jperp4.log::D10000	1	10000	1.68e-06	2.36e-06
Kondo2LayerJh4U18t21Jperp4.log::D10000	2	10000	2.70e-06	2.76e-06
Kondo2LayerJh4U18t21Jperp4.log::D10000	3	10000	2.83e-06	2.85e-06
Kondo2LayerJh4U18t21Jperp4.log::D10000	4	10000	2.89e-06	2.89e-06
Kondo2LayerJh4U18t21Jperp4.log::D10000	5	10000	2.90e-06	2.91e-06
Kondo2LayerJh4U18t21Jperp4.log::D10000	6	10000	2.91e-06	2.92e-06
Kondo2LayerJh4U18t21Jperp4.log::D12000	1	12000	1.47e-06	1.94e-06
Kondo2LayerJh4U18t21Jperp4.log::D12000	2	12000	2.14e-06	2.19e-06
Kondo2LayerJh4U18t21Jperp4.log::D12000	3	12000	2.23e-06	2.24e-06
Kondo2LayerJh4U18t21Jperp4.log::D12000	4	12000	2.25e-06	2.26e-06
Kondo2LayerJh4U18t21Jperp4.log::D12000	5	12000	2.26e-06	2.26e-06
Kondo2LayerJh4U18t21Jperp4.log::D12000	6	12000	2.27e-06	2.27e-06
Kondo2LayerJh4U18t21Jperp4.log::D15000	1	15000	9.69e-07	1.37e-06
Kondo2LayerJh4U18t21Jperp4.log::D15000	2	15000	1.55e-06	1.58e-06
Kondo2LayerJh4U18t21Jperp4.log::D15000	3	15000	1.62e-06	1.63e-06
Kondo2LayerJh4U18t21Jperp4.log::D15000	4	15000	1.64e-06	1.64e-06
Kondo2LayerJh4U18t21Jperp4.log::D15000	5	15000	1.65e-06	1.65e-06
Kondo2LayerJh4U18t21Jperp4.log::D15000	6	15000	1.65e-06	1.65e-06
Jh4U18Jperp4D10000.log::D10000	1	10000	2.92e-06	2.92e-06
Jh4U18Jperp4D10000.log::D10000	2	10000	2.92e-06	2.92e-06
Jh4U18Jperp4D10000.log::D10000	3	10000	2.93e-06	2.93e-06
Jh4U18Jperp4D12000.log::D12000	1	12000	3.89e-06	2.90e-06
Jh4U18Jperp4D12000.log::D12000	2	12000	2.39e-06	2.36e-06
Jh4U18Jperp4D12000.log::D12000	3	12000	2.33e-06	2.33e-06
Jh4U18Jperp4D12000.log::D12000	4	12000	2.32e-06	2.32e-06
Jh4U18Jperp4D15000.log::D15000	1	15000	1.66e-06	1.66e-06
Jh4U18Jperp4D15000.log::D15000	2	15000	1.66e-06	1.66e-06
Jh4U18Jperp4D18000.log::D18000	1	18000	8.25e-07	1.07e-06
Jh4U18Jperp4D18000.log::D18000	2	18000	1.19e-06	1.21e-06
Jh4U18Jperp4D18000.log::D18000	3	18000	1.24e-06	1.24e-06
Jh4U18Jperp4D18000.log::D18000	4	18000	1.25e-06	1.25e-06
Jh4U18Jperp4D18000.log::D18000	5	18000	1.25e-06	1.25e-06
Jh4U18Jperp4D18000.log::D18000	6	18000	1.26e-06	1.26e-06
Jh4U18Jperp4D20000.log::D20000	1	20000	8.38e-07	9.74e-07
Jh4U18Jperp4D20000.log::D20000	2	20000	1.03e-06	1.04e-06
Jh4U18Jperp4D20000.log::D20000	3	20000	1.05e-06	1.05e-06
Jh4U18Jperp4D20000.log::D20000	4	20000	1.06e-06	1.06e-06
Jh4U18Jperp4D20000.log::D20000	5	20000	1.06e-06	nan
