Bond_Dimension,Last_Sweep_Truncation_Error
2000,3.260000e-05
3000,2.080000e-05
4000,1.490000e-05
6000,9.050000e-06
8000,6.130000e-06
10000,4.490000e-06
12000,3.480000e-06
15000,2.590000e-06
18000,2.000000e-06
