Truncation Errors for Middle Bond (201-202) with D>=3000 (Jperp=0)
==============================================================================================================
Filename                Sweep  Site Bond        Direction       TruncErr  Bond Dim
--------------------------------------------------------------------------------------------------------------
Kondo2LayerJh4U18t21Jperp0.5.log     1   201 201-202     right-moving    1.26e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     1   202 201-202     left-moving     1.31e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     2   201 201-202     right-moving    1.26e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     2   202 201-202     left-moving     1.26e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     3   201 201-202     right-moving    1.25e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     3   202 201-202     left-moving     1.25e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     4   201 201-202     right-moving    1.24e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     4   202 201-202     left-moving     1.24e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     5   201 201-202     right-moving    1.24e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     5   202 201-202     left-moving     1.24e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     6   201 201-202     right-moving    1.23e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     6   202 201-202     left-moving     1.23e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     7   201 201-202     right-moving    1.23e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     7   202 201-202     left-moving     1.23e-05      6000
Kondo2LayerJh4U18t21Jperp0.5.log     1   201 201-202     right-moving    7.13e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     1   202 201-202     left-moving     9.04e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     2   201 201-202     right-moving    9.62e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     2   202 201-202     left-moving     9.82e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     3   201 201-202     right-moving    9.84e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     3   202 201-202     left-moving     9.90e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     4   201 201-202     right-moving    9.90e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     4   202 201-202     left-moving     9.92e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     5   201 201-202     right-moving    9.92e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     5   202 201-202     left-moving     9.94e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     6   201 201-202     right-moving    9.94e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     6   202 201-202     left-moving     9.95e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     7   201 201-202     right-moving    9.95e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     7   202 201-202     left-moving     9.96e-06      7000
Kondo2LayerJh4U18t21Jperp0.5.log     1   201 201-202     right-moving    6.21e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     1   202 201-202     left-moving     7.61e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     2   201 201-202     right-moving    7.99e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     2   202 201-202     left-moving     8.15e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     3   201 201-202     right-moving    8.18e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     3   202 201-202     left-moving     8.23e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     4   201 201-202     right-moving    8.22e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     4   202 201-202     left-moving     8.24e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     5   201 201-202     right-moving    8.25e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     5   202 201-202     left-moving     8.26e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     6   201 201-202     right-moving    8.26e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     6   202 201-202     left-moving     8.27e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     7   201 201-202     right-moving    8.28e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     7   202 201-202     left-moving     8.29e-06      8000
Kondo2LayerJh4U18t21Jperp0.5.log     1   201 201-202     right-moving    3.69e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     1   202 201-202     left-moving     5.26e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     2   201 201-202     right-moving    5.84e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     2   202 201-202     left-moving     5.98e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     3   201 201-202     right-moving    6.05e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     3   202 201-202     left-moving     6.11e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     4   201 201-202     right-moving    6.10e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     4   202 201-202     left-moving     6.12e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     5   201 201-202     right-moving    6.12e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     5   202 201-202     left-moving     6.13e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     6   201 201-202     right-moving    6.13e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     6   202 201-202     left-moving     6.14e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     7   201 201-202     right-moving    6.14e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     7   202 201-202     left-moving     6.15e-06     10000
Kondo2LayerJh4U18t21Jperp0.5.log     1   201 201-202     right-moving    3.24e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     1   202 201-202     left-moving     4.31e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     2   201 201-202     right-moving    4.67e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     2   202 201-202     left-moving     4.75e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     3   201 201-202     right-moving    4.81e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     3   202 201-202     left-moving     4.84e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     4   201 201-202     right-moving    4.86e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     4   202 201-202     left-moving     4.87e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     5   201 201-202     right-moving    4.87e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     5   202 201-202     left-moving     4.88e-06     12000
Kondo2LayerJh4U18t21Jperp0.5.log     1   201 201-202     right-moving    2.21e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     1   202 201-202     left-moving     3.12e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     2   201 201-202     right-moving    3.45e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     2   202 201-202     left-moving     3.52e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     3   201 201-202     right-moving    3.58e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     3   202 201-202     left-moving     3.59e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     4   201 201-202     right-moving    3.61e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     4   202 201-202     left-moving     3.63e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     5   201 201-202     right-moving    3.63e-06     15000
Kondo2LayerJh4U18t21Jperp0.5.log     5   202 201-202     left-moving     3.64e-06     15000
