Truncation Errors for Middle Bond (201-202) with D>=3000 (Jperp=4)
==============================================================================================================
Filename                Sweep  Site Bond        Direction       TruncErr  Bond Dim
--------------------------------------------------------------------------------------------------------------
Kondo2LayerJh4U18t21Jperp4.log     1   201 201-202     right-moving    3.26e-06      2000
Kondo2LayerJh4U18t21Jperp4.log     1   202 201-202     left-moving     7.64e-06      2000
Kondo2LayerJh4U18t21Jperp4.log     2   201 201-202     right-moving    1.62e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     2   202 201-202     left-moving     1.84e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     3   201 201-202     right-moving    1.99e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     3   202 201-202     left-moving     2.17e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     4   201 201-202     right-moving    2.27e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     4   202 201-202     left-moving     2.44e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     5   201 201-202     right-moving    2.52e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     5   202 201-202     left-moving     2.80e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     6   201 201-202     right-moving    3.16e-05      2000
Kondo2LayerJh4U18t21Jperp4.log     6   202 201-202     left-moving     1.44e-05      2000
Jh4U18Jperp4D10000.log      1   201 201-202     right-moving    2.92e-06     10000
Jh4U18Jperp4D10000.log      1   202 201-202     left-moving     2.92e-06     10000
Jh4U18Jperp4D10000.log      2   201 201-202     right-moving    2.92e-06     10000
Jh4U18Jperp4D10000.log      2   202 201-202     left-moving     2.92e-06     10000
Jh4U18Jperp4D10000.log      3   201 201-202     right-moving    2.93e-06     10000
Jh4U18Jperp4D10000.log      3   202 201-202     left-moving     2.93e-06     10000
Jh4U18Jperp4D12000.log      1   201 201-202     right-moving    3.89e-06     12000
Jh4U18Jperp4D12000.log      1   202 201-202     left-moving     2.90e-06     12000
Jh4U18Jperp4D12000.log      2   201 201-202     right-moving    2.39e-06     12000
Jh4U18Jperp4D12000.log      2   202 201-202     left-moving     2.36e-06     12000
Jh4U18Jperp4D12000.log      3   201 201-202     right-moving    2.33e-06     12000
Jh4U18Jperp4D12000.log      3   202 201-202     left-moving     2.33e-06     12000
Jh4U18Jperp4D12000.log      4   201 201-202     right-moving    2.32e-06     12000
Jh4U18Jperp4D12000.log      4   202 201-202     left-moving     2.32e-06     12000
Jh4U18Jperp4D15000.log      1   201 201-202     right-moving    1.66e-06     15000
Jh4U18Jperp4D15000.log      1   202 201-202     left-moving     1.66e-06     15000
Jh4U18Jperp4D15000.log      2   201 201-202     right-moving    1.66e-06     15000
Jh4U18Jperp4D15000.log      2   202 201-202     left-moving     1.66e-06     15000
Jh4U18Jperp4D18000.log      1   201 201-202     right-moving    8.25e-07     18000
Jh4U18Jperp4D18000.log      1   201 201-202     right-moving    8.25e-07     18000
Jh4U18Jperp4D18000.log      1   202 201-202     left-moving     1.07e-06     18000
Jh4U18Jperp4D18000.log      1   202 201-202     left-moving     1.07e-06     18000
Jh4U18Jperp4D18000.log      2   201 201-202     right-moving    1.19e-06     18000
Jh4U18Jperp4D18000.log      2   201 201-202     right-moving    1.19e-06     18000
Jh4U18Jperp4D18000.log      2   202 201-202     left-moving     1.21e-06     18000
Jh4U18Jperp4D18000.log      2   202 201-202     left-moving     1.21e-06     18000
Jh4U18Jperp4D18000.log      3   201 201-202     right-moving    1.24e-06     18000
Jh4U18Jperp4D18000.log      3   201 201-202     right-moving    1.24e-06     18000
Jh4U18Jperp4D18000.log      3   202 201-202     left-moving     1.24e-06     18000
Jh4U18Jperp4D18000.log      3   202 201-202     left-moving     1.24e-06     18000
Jh4U18Jperp4D18000.log      4   201 201-202     right-moving    1.25e-06     18000
Jh4U18Jperp4D18000.log      4   201 201-202     right-moving    1.25e-06     18000
Jh4U18Jperp4D18000.log      4   202 201-202     left-moving     1.25e-06     18000
Jh4U18Jperp4D18000.log      4   202 201-202     left-moving     1.25e-06     18000
Jh4U18Jperp4D18000.log      5   201 201-202     right-moving    1.25e-06     18000
Jh4U18Jperp4D18000.log      5   201 201-202     right-moving    1.25e-06     18000
Jh4U18Jperp4D18000.log      5   202 201-202     left-moving     1.25e-06     18000
Jh4U18Jperp4D18000.log      5   202 201-202     left-moving     1.25e-06     18000
Jh4U18Jperp4D18000.log      6   201 201-202     right-moving    1.26e-06     18000
Jh4U18Jperp4D18000.log      6   201 201-202     right-moving    1.26e-06     18000
Jh4U18Jperp4D18000.log      6   202 201-202     left-moving     1.26e-06     18000
Jh4U18Jperp4D18000.log      6   202 201-202     left-moving     1.26e-06     18000
Jh4U18Jperp4D20000.log      1   201 201-202     right-moving    8.38e-07     20000
Jh4U18Jperp4D20000.log      1   202 201-202     left-moving     9.74e-07     20000
Jh4U18Jperp4D20000.log      2   201 201-202     right-moving    1.03e-06     20000
Jh4U18Jperp4D20000.log      2   202 201-202     left-moving     1.04e-06     20000
Jh4U18Jperp4D20000.log      3   201 201-202     right-moving    1.05e-06     20000
Jh4U18Jperp4D20000.log      3   202 201-202     left-moving     1.05e-06     20000
Jh4U18Jperp4D20000.log      4   201 201-202     right-moving    1.06e-06     20000
Jh4U18Jperp4D20000.log      4   202 201-202     left-moving     1.06e-06     20000
Jh4U18Jperp4D20000.log      5   201 201-202     right-moving    1.06e-06     20000
