Truncation Errors for Middle Bond (201-202) with D>=3000 (Jperp=0)
==============================================================================================================
Filename                Sweep  Site Bond        Direction       TruncErr  Bond Dim
Kondo2LayerJh4U18t21Jperp0.1.log     5   201 201-202     right-moving    4.89e-06     12000
Kondo2LayerJh4U18t21Jperp0.1.log     5   202 201-202     left-moving     4.91e-06     12000
Jh4U18Jperp0.1D15000.log     1   201 201-202     right-moving    2.22e-06     15000
Jh4U18Jperp0.1D15000.log     1   202 201-202     left-moving     3.57e-06     15000
Jh4U18Jperp0.1D15000.log     2   201 201-202     right-moving    3.86e-06     15000
Jh4U18Jperp0.1D15000.log     2   202 201-202     left-moving     3.99e-06     15000
Jh4U18Jperp0.1D15000.log     3   201 201-202     right-moving    4.03e-06     15000
Jh4U18Jperp0.1D15000.log     3   202 201-202     left-moving     4.07e-06     15000
Jh4U18Jperp0.1D15000.log     4   201 201-202     right-moving    4.08e-06     15000
Jh4U18Jperp0.1D15000.log     4   202 201-202     left-moving     4.10e-06     15000
Jh4U18Jperp0.1D15000.log     5   201 201-202     right-moving    4.10e-06     15000
Jh4U18Jperp0.1D15000.log     5   202 201-202     left-moving     4.11e-06     15000
